Timestamp,Server,Throughput (Mbps)
2025-03-25 17:46:25,Oregon,3792.25948664916
2025-03-25 17:46:49,Virginia,3753.04887738202
2025-03-25 17:57:13,Oregon,4009.730170958016
2025-03-25 17:57:36,Virginia,3663.1015818597484
2025-03-25 18:08:01,Oregon,3802.778361824726
2025-03-25 18:08:24,Virginia,3813.9736214698883
2025-03-25 18:18:49,Oregon,3578.944484718234
2025-03-25 18:19:12,Virginia,3601.093145919154
2025-03-25 18:29:36,Oregon,3981.379170864308
2025-03-25 18:30:00,Virginia,3582.4488693790754
2025-03-25 18:40:24,Oregon,3769.0723992820863
2025-03-25 18:40:48,Virginia,3716.5579588337255
2025-03-25 18:51:12,Oregon,3702.227174686341
2025-03-25 18:51:35,Virginia,3843.1123655632
2025-03-25 19:02:00,Oregon,3974.7991669609023
2025-03-25 19:02:23,Virginia,3681.491616208721
2025-03-25 19:12:48,Oregon,3947.311049355517
2025-03-25 19:13:11,Virginia,3868.676090162528
2025-03-25 19:23:35,Oregon,3972.0875006230963
2025-03-25 19:23:59,Virginia,3591.8625689388186
2025-03-25 19:34:23,Oregon,3823.7677700984214
2025-03-25 19:34:47,Virginia,3827.4592962617116
2025-03-25 19:45:11,Oregon,3855.0387780333676
2025-03-25 19:45:34,Virginia,3700.896994397229
2025-03-25 19:55:59,Oregon,4152.05876674904
2025-03-25 19:56:22,Virginia,3697.4879855180134
2025-03-25 20:06:47,Oregon,3737.1764966341925
2025-03-25 20:07:10,Virginia,3643.943720043993
2025-03-25 20:17:34,Oregon,4206.480181325247
2025-03-25 20:17:58,Virginia,3603.4842055676563
2025-03-25 20:28:22,Oregon,3911.5297227106926
2025-03-25 20:28:45,Virginia,3631.423138150222
2025-03-25 20:39:10,Oregon,3668.3286275480727
2025-03-25 20:39:33,Virginia,3746.7626674602197
2025-03-25 20:49:58,Oregon,4081.1301497256136
2025-03-25 20:50:21,Virginia,3569.6683448852414
2025-03-25 21:00:45,Oregon,3778.677190162591
2025-03-25 21:01:09,Virginia,3647.49303328451
2025-03-25 21:11:33,Oregon,3762.84300874265
2025-03-25 21:11:57,Virginia,3644.8709046435943
2025-03-25 21:22:21,Oregon,3819.9610306833474
2025-03-25 21:22:44,Virginia,3467.249112907238
2025-03-25 21:33:09,Oregon,4078.7417985346196
2025-03-25 21:33:32,Virginia,3671.475855848378
2025-03-25 21:43:57,Oregon,3663.793349790603
2025-03-25 21:44:20,Virginia,3343.681794830399
2025-03-25 21:54:44,Oregon,3757.3413813514553
2025-03-25 21:55:08,Virginia,3453.4468954118056
2025-03-25 22:05:32,Oregon,3851.060457276477
2025-03-25 22:05:56,Virginia,3557.7228431416615
2025-03-25 22:16:20,Oregon,3989.3332608014366
2025-03-25 22:16:43,Virginia,3367.2591775798487
2025-03-25 22:27:08,Oregon,3639.6994317801714
2025-03-25 22:27:31,Virginia,3441.3179791844736
2025-03-25 22:37:56,Oregon,3854.3215801335464
2025-03-25 22:38:19,Virginia,3585.212806993185
2025-03-25 22:48:43,Oregon,3308.592494329984
2025-03-25 22:49:07,Virginia,3474.3304913935826
2025-03-25 22:59:31,Oregon,3736.142850135786
2025-03-25 22:59:54,Virginia,3647.4812743387397
2025-03-25 23:10:19,Oregon,3707.447690189369
2025-03-25 23:10:42,Virginia,3747.467693855194
2025-03-25 23:21:07,Oregon,3483.2264855527683
2025-03-25 23:21:30,Virginia,3902.534620227109
2025-03-25 23:31:54,Oregon,3837.572350621653
2025-03-25 23:32:18,Virginia,3576.3573470041188
2025-03-25 23:42:42,Oregon,3564.873847603641
2025-03-25 23:43:06,Virginia,3462.7794649648586
2025-03-25 23:53:30,Oregon,4004.0082531348
2025-03-25 23:53:53,Virginia,3507.019591847755
2025-03-26 00:04:18,Oregon,3971.09080305938
2025-03-26 00:04:41,Virginia,3590.9512177659312
2025-03-26 00:15:06,Oregon,3610.8586917413804
2025-03-26 00:15:29,Virginia,3309.544640227739
2025-03-26 00:25:53,Oregon,3922.795037233945
2025-03-26 00:26:17,Virginia,3852.33069579416
2025-03-26 00:36:41,Oregon,3694.8471849351236
2025-03-26 00:37:05,Virginia,3561.6119081918214
2025-03-26 00:47:29,Oregon,3579.238103113888
2025-03-26 00:47:52,Virginia,3679.55233347313
2025-03-26 00:58:17,Oregon,3686.6837214934717
2025-03-26 00:58:40,Virginia,3539.5428362296802
2025-03-26 01:09:05,Oregon,4218.702937749083
2025-03-26 01:09:28,Virginia,3808.956732432122
2025-03-26 01:19:52,Oregon,3783.571941142322
2025-03-26 01:20:16,Virginia,3442.162264214716
2025-03-26 01:30:40,Oregon,4049.1743844457083
2025-03-26 01:31:04,Virginia,3680.7515077554926
2025-03-26 01:41:28,Oregon,3902.1782801497784
2025-03-26 01:41:52,Virginia,3344.686351488331
2025-03-26 01:52:16,Oregon,3432.0990891165065
2025-03-26 01:52:39,Virginia,3628.6491221430015
2025-03-26 02:03:04,Oregon,3766.055446835388
2025-03-26 02:03:28,Virginia,3592.168521056932
2025-03-26 02:13:52,Oregon,3932.1077029675507
2025-03-26 02:14:15,Virginia,3423.818489927659
2025-03-26 02:24:40,Oregon,3864.319199509293
2025-03-26 02:25:03,Virginia,3547.428200245999
2025-03-26 02:35:28,Oregon,3623.4261415430597
2025-03-26 02:35:51,Virginia,3505.793449182955
2025-03-26 02:46:15,Oregon,3452.12505621624
2025-03-26 02:46:39,Virginia,3383.0907423523404
2025-03-26 02:57:03,Oregon,4195.69751535016
2025-03-26 02:57:27,Virginia,3457.44699852216
2025-03-26 03:07:51,Oregon,3876.38816384246
2025-03-26 03:08:14,Virginia,3803.621195988253
2025-03-26 03:18:39,Oregon,3707.836334296548
2025-03-26 03:19:02,Virginia,3569.4968333262086
2025-03-26 03:29:27,Oregon,3632.363168537254
2025-03-26 03:29:50,Virginia,3531.76418480698
2025-03-26 03:40:14,Oregon,3670.998482142362
2025-03-26 03:40:38,Virginia,3652.654449460257
2025-03-26 03:51:02,Oregon,3542.1398749284854
2025-03-26 03:51:26,Virginia,3698.5261803870303
2025-03-26 04:01:50,Oregon,3635.4626432085042
2025-03-26 04:02:13,Virginia,3531.763125340074
2025-03-26 04:12:38,Oregon,3518.0810691534016
2025-03-26 04:13:02,Virginia,3525.263041722603
2025-03-26 04:23:27,Oregon,3697.636607830986
2025-03-26 04:23:51,Virginia,3323.416688494505
2025-03-26 04:34:15,Oregon,3786.70672561449
2025-03-26 04:34:39,Virginia,3499.449177265725
2025-03-26 04:45:04,Oregon,3483.4579656204132
2025-03-26 04:45:28,Virginia,3493.849138826925
2025-03-26 04:55:52,Oregon,3812.8343435561587
2025-03-26 04:56:15,Virginia,3743.474050153564
2025-03-26 05:06:40,Oregon,3810.9214250401183
2025-03-26 05:07:03,Virginia,3918.80342171959
2025-03-26 05:17:28,Oregon,3888.77104998581
2025-03-26 05:17:51,Virginia,3763.3225662811096
2025-03-26 05:28:15,Oregon,4082.8693235013898
2025-03-26 05:28:39,Virginia,3555.89588496123
2025-03-26 05:39:03,Oregon,3849.6747495756204
2025-03-26 05:39:27,Virginia,3487.23700988132
2025-03-26 05:49:51,Oregon,3857.6215374745116
2025-03-26 05:50:14,Virginia,3407.068662952709
2025-03-26 06:00:39,Oregon,3930.0539679580997
2025-03-26 06:01:02,Virginia,3560.1392144964834
2025-03-26 06:11:27,Oregon,3798.024959320672
2025-03-26 06:11:50,Virginia,3443.4387032359655
2025-03-26 06:22:14,Oregon,3682.226669422584
2025-03-26 06:22:38,Virginia,3580.0553012902747
2025-03-26 06:33:02,Oregon,3602.4086327305117
2025-03-26 06:33:25,Virginia,3357.572299608972
2025-03-26 06:43:50,Oregon,4277.850934683175
2025-03-26 06:44:13,Virginia,3507.6518668304734
2025-03-26 06:54:38,Oregon,3411.861820034855
2025-03-26 06:55:01,Virginia,3396.6147042075186
2025-03-26 07:05:25,Oregon,3861.887164264894
2025-03-26 07:05:49,Virginia,3538.1880600340282
2025-03-26 07:16:13,Oregon,3713.399591170339
2025-03-26 07:16:37,Virginia,3418.293283169716
2025-03-26 07:27:01,Oregon,3807.8613570522098
2025-03-26 07:27:24,Virginia,3641.0694714880665
2025-03-26 07:37:49,Oregon,3746.9007048799417
2025-03-26 07:38:12,Virginia,3342.4230955149947
2025-03-26 07:48:37,Oregon,3738.698936624568
2025-03-26 07:49:00,Virginia,3618.684140007386
2025-03-26 07:59:24,Oregon,3906.0102069208133
2025-03-26 07:59:48,Virginia,3361.9744428699546
2025-03-26 08:10:12,Oregon,3678.534682924115
2025-03-26 08:10:36,Virginia,3442.6208625829986
2025-03-26 08:21:00,Oregon,3941.1371715627515
2025-03-26 08:21:23,Virginia,3697.7781191087897
2025-03-26 08:31:48,Oregon,3553.534351425943
2025-03-26 08:32:11,Virginia,3680.9656801628457
2025-03-26 08:42:36,Oregon,3876.1925065029054
2025-03-26 08:42:59,Virginia,3481.785375987802
2025-03-26 08:53:23,Oregon,3992.797332840289
2025-03-26 08:53:47,Virginia,3653.0668999123727
2025-03-26 09:04:11,Oregon,3790.8811785169214
2025-03-26 09:04:35,Virginia,3628.7927963962784
2025-03-26 09:14:59,Oregon,3704.9895421319798
2025-03-26 09:15:22,Virginia,3615.1686417983565
2025-03-26 09:25:47,Oregon,3558.8115914074133
2025-03-26 09:26:11,Virginia,3562.2247809177506
2025-03-26 09:36:35,Oregon,3766.363491154182
2025-03-26 09:36:59,Virginia,3299.252276239108
2025-03-26 09:47:23,Oregon,4058.742960245273
2025-03-26 09:47:46,Virginia,3541.41193569594
2025-03-26 09:58:11,Oregon,3730.288862891603
2025-03-26 09:58:34,Virginia,3488.618506310157
2025-03-26 10:08:59,Oregon,3619.51707611348
2025-03-26 10:09:22,Virginia,3443.999723816474
2025-03-26 10:19:46,Oregon,3668.8006419616427
2025-03-26 10:20:10,Virginia,3642.117433930296
2025-03-26 10:30:34,Oregon,3435.0823788666517
2025-03-26 10:30:58,Virginia,3397.6165930365974
2025-03-26 10:41:22,Oregon,3672.31279447925
2025-03-26 10:41:45,Virginia,3667.178929878923
2025-03-26 10:52:10,Oregon,3802.068399743895
2025-03-26 10:52:33,Virginia,3596.6142739421202
2025-03-26 11:02:58,Oregon,3645.2582996036435
2025-03-26 11:03:21,Virginia,3687.0435954511486
2025-03-26 11:13:46,Oregon,4072.691257050266
2025-03-26 11:14:09,Virginia,3674.075943306464
2025-03-26 11:24:33,Oregon,3433.5982976340474
2025-03-26 11:24:57,Virginia,3722.8947522336866
2025-03-26 11:35:21,Oregon,3933.2922645440717
2025-03-26 11:35:45,Virginia,3364.1592926813782
2025-03-26 11:46:09,Oregon,3738.11204684526
2025-03-26 11:46:32,Virginia,3726.5183209156685
2025-03-26 11:56:57,Oregon,4264.618567071546
2025-03-26 11:57:20,Virginia,3526.7759819590965
2025-03-26 12:07:45,Oregon,4186.346832176778
2025-03-26 12:08:08,Virginia,3482.643016572888
2025-03-26 12:18:32,Oregon,3355.353950373971
2025-03-26 12:18:56,Virginia,3603.476818869345
2025-03-26 12:29:20,Oregon,4105.035853218526
2025-03-26 12:29:44,Virginia,3477.2365572683916
2025-03-26 12:40:08,Oregon,3786.533546086437
2025-03-26 12:40:31,Virginia,3400.8976591002524
2025-03-26 12:50:56,Oregon,3843.220837954932
2025-03-26 12:51:19,Virginia,3505.7035137891726
2025-03-26 13:01:44,Oregon,3738.6303227176045
2025-03-26 13:02:07,Virginia,3719.234134160484
2025-03-26 13:12:31,Oregon,3733.806042915008
2025-03-26 13:12:55,Virginia,3320.6412855869935
2025-03-26 13:23:19,Oregon,3995.150622307848
2025-03-26 13:23:43,Virginia,3672.2607360210227
2025-03-26 13:34:07,Oregon,3555.561377785746
2025-03-26 13:34:30,Virginia,3436.2931499136075
2025-03-26 13:44:55,Oregon,4147.867636469012
2025-03-26 13:45:18,Virginia,3387.065443146316
2025-03-26 13:55:42,Oregon,3730.5058392014
2025-03-26 13:56:06,Virginia,3510.6841824117914
2025-03-26 14:06:30,Oregon,3234.2139418141933
2025-03-26 14:06:54,Virginia,3750.151924929454
2025-03-26 14:17:18,Oregon,4046.4107614646173
2025-03-26 14:17:41,Virginia,3724.4088897475367
2025-03-26 14:28:06,Oregon,3241.2340748046267
2025-03-26 14:28:29,Virginia,3598.0134229422774
2025-03-26 14:38:54,Oregon,3971.814643431506
2025-03-26 14:39:17,Virginia,3380.6752012033276
2025-03-26 14:49:41,Oregon,3515.835466119014
2025-03-26 14:50:05,Virginia,3594.779608358252
2025-03-26 15:00:29,Oregon,3888.011078740786
2025-03-26 15:00:53,Virginia,3373.044582012818
2025-03-26 15:11:17,Oregon,3395.242715236986
2025-03-26 15:11:40,Virginia,3567.7505501793134
2025-03-26 15:22:05,Oregon,3782.333327666802
2025-03-26 15:22:28,Virginia,3830.89574361344
2025-03-26 15:32:53,Oregon,3697.90872006188
2025-03-26 15:33:16,Virginia,3840.569013811842
2025-03-26 15:43:40,Oregon,4058.6828828869366
2025-03-26 15:44:04,Virginia,3528.7020898970627
2025-03-26 15:54:28,Oregon,3890.848536228258
2025-03-26 15:54:52,Virginia,3646.0530471936827
2025-03-26 16:05:16,Oregon,3954.430507091603
2025-03-26 16:05:39,Virginia,3533.027738229446
2025-03-26 16:16:04,Oregon,3490.1972343535663
2025-03-26 16:16:27,Virginia,3721.048233878014
2025-03-26 16:26:52,Oregon,3727.558017590841
2025-03-26 16:27:15,Virginia,3573.768768412917
2025-03-26 16:37:39,Oregon,3820.967056484476
2025-03-26 16:38:03,Virginia,3699.5387544075065
2025-03-26 16:48:27,Oregon,3833.3723754782413
2025-03-26 16:48:51,Virginia,3705.656448314424
2025-03-26 16:59:15,Oregon,3385.4380923734616
2025-03-26 16:59:39,Virginia,3711.28749980438
2025-03-26 17:10:03,Oregon,3661.491777869066
2025-03-26 17:10:26,Virginia,3476.2005075467023
2025-03-26 17:20:51,Oregon,3357.3577175492323
2025-03-26 17:21:14,Virginia,3624.0065924604883
2025-03-26 17:31:39,Oregon,3750.8669401065954
